tiempo,ángulo
'0:0:10.73,180.47
'0:0:10.74,179.68
'0:0:10.75,178.01
'0:0:10.76,175.64
'0:0:10.77,173.88
'0:0:10.78,173.00
'0:0:10.79,172.21
'0:0:10.8,170.45
'0:0:10.81,169.66
'0:0:10.82,167.90
'0:0:10.83,167.20
'0:0:10.84,165.53
'0:0:10.85,163.95
'0:0:10.86,163.24
'0:0:10.87,161.66
'0:0:10.88,160.17
'0:0:10.89,159.29
'0:0:10.9,157.79
'0:0:10.91,156.03
'0:0:10.92,155.24
'0:0:10.93,153.84
'0:0:10.94,152.43
'0:0:10.95,151.73
'0:0:10.96,150.41
'0:0:10.97,149.18
'0:0:10.98,148.56
'0:0:10.99,147.42
'0:0:11.0,146.28
'0:0:11.01,144.87
'0:0:11.02,143.99
'0:0:11.03,143.99
'0:0:11.04,143.55
'0:0:11.05,142.67
'0:0:11.06,141.97
'0:0:11.07,141.62
'0:0:11.08,141.00
'0:0:11.09,140.39
'0:0:11.1,140.04
'0:0:11.11,139.60
'0:0:11.12,139.24
'0:0:11.13,139.07
'0:0:11.14,138.80
'0:0:11.15,138.63
'0:0:11.16,138.63
'0:0:11.17,138.63
'0:0:11.18,138.63
'0:0:11.19,138.63
'0:0:11.2,138.63
'0:0:11.21,138.80
'0:0:11.22,138.89
'0:0:11.23,139.16
'0:0:11.24,139.51
'0:0:11.25,139.77
'0:0:11.26,140.39
'0:0:11.27,141.00
'0:0:11.28,141.35
'0:0:11.29,141.97
'0:0:11.3,142.76
'0:0:11.31,143.20
'0:0:11.32,144.08
'0:0:11.33,145.13
'0:0:11.34,145.66
'0:0:11.35,146.72
'0:0:11.36,147.95
'0:0:11.37,148.47
'0:0:11.38,149.71
'0:0:11.39,151.02
'0:0:11.4,152.96
'0:0:11.41,153.57
'0:0:11.42,154.89
'0:0:11.43,155.68
'0:0:11.44,156.39
'0:0:11.45,157.88
'0:0:11.46,158.58
'0:0:11.47,160.08
'0:0:11.48,161.75
'0:0:11.49,162.54
'0:0:11.5,164.21
'0:0:11.51,165.70
'0:0:11.52,166.58
'0:0:11.53,168.08
'0:0:11.54,169.66
'0:0:11.55,170.45
'0:0:11.56,172.12
'0:0:11.57,173.62
'0:0:11.58,174.41
'0:0:11.59,175.90
'0:0:11.6,177.31
'0:0:11.61,178.01
'0:0:11.62,179.51
'0:0:11.63,180.91
'0:0:11.64,181.62
'0:0:11.65,183.02
'0:0:11.66,184.34
'0:0:11.67,184.96
'0:0:11.68,186.28
'0:0:11.69,187.51
'0:0:11.7,188.03
'0:0:11.71,189.09
'0:0:11.72,190.14
'0:0:11.73,190.58
'0:0:11.74,191.46
'0:0:11.75,192.25
'0:0:11.76,192.69
'0:0:11.77,193.40
'0:0:11.78,194.10
'0:0:11.79,194.45
'0:0:11.8,194.89
'0:0:11.81,195.42
'0:0:11.82,195.59
'0:0:11.83,196.03
'0:0:11.84,196.39
'0:0:11.85,196.56
'0:0:11.86,196.74
'0:0:11.87,196.82
'0:0:11.88,196.82
'0:0:11.89,196.82
'0:0:11.9,196.82
'0:0:11.91,196.82
'0:0:11.92,196.82
'0:0:11.93,196.74
'0:0:11.94,196.65
'0:0:11.95,196.39
'0:0:11.96,195.86
'0:0:11.97,195.59
'0:0:11.98,195.07
'0:0:11.99,194.45
'0:0:12.0,194.10
'0:0:12.01,192.61
'0:0:12.02,192.17
'0:0:12.03,192.17
'0:0:12.04,190.23
'0:0:12.05,189.70
'0:0:12.06,189.18
'0:0:12.07,188.03
'0:0:12.08,187.42
'0:0:12.09,186.80
'0:0:12.1,185.66
'0:0:12.11,184.43
'0:0:12.12,183.81
'0:0:12.13,182.67
'0:0:12.14,181.35
'0:0:12.15,180.56
'0:0:12.16,179.07
'0:0:12.17,177.57
'0:0:12.18,176.87
'0:0:12.19,175.37
'0:0:12.2,173.79
'0:0:12.21,173.00
'0:0:12.22,171.42
'0:0:12.23,169.92
'0:0:12.24,169.13
'0:0:12.25,167.64
'0:0:12.26,166.14
'0:0:12.27,165.35
'0:0:12.28,163.86
'0:0:12.29,162.36
'0:0:12.3,161.66
'0:0:12.31,160.25
'0:0:12.32,158.85
'0:0:12.33,158.14
'0:0:12.34,156.74
'0:0:12.35,155.33
'0:0:12.36,154.63
'0:0:12.37,153.31
'0:0:12.38,152.17
'0:0:12.39,151.55
'0:0:12.4,150.41
'0:0:12.41,149.27
'0:0:12.42,148.83
'0:0:12.43,147.86
'0:0:12.44,146.98
'0:0:12.45,146.54
'0:0:12.46,145.66
'0:0:12.47,144.96
'0:0:12.48,144.52
'0:0:12.49,143.90
'0:0:12.5,143.29
'0:0:12.51,143.02
'0:0:12.52,142.50
'0:0:12.53,142.06
'0:0:12.54,141.88
'0:0:12.55,141.62
'0:0:12.56,141.35
'0:0:12.57,141.27
'0:0:12.58,141.18
'0:0:12.59,141.09
'0:0:12.6,141.09
'0:0:12.61,141.09
'0:0:12.62,141.18
'0:0:12.63,141.18
'0:0:12.64,141.44
'0:0:12.65,141.71
'0:0:12.66,141.88
'0:0:12.67,142.32
'0:0:12.68,143.11
'0:0:12.69,143.64
'0:0:12.7,143.99
'0:0:12.71,144.34
'0:0:12.72,145.05
'0:0:12.73,145.49
'0:0:12.74,146.28
'0:0:12.75,146.72
'0:0:12.76,147.68
'0:0:12.77,148.65
'0:0:12.78,149.27
'0:0:12.79,150.32
'0:0:12.8,151.55
'0:0:12.81,152.08
'0:0:12.82,153.31
'0:0:12.83,154.54
'0:0:12.84,155.24
'0:0:12.85,156.47
'0:0:12.86,157.79
'0:0:12.87,158.50
'0:0:12.88,159.90
'0:0:12.89,161.31
'0:0:12.9,162.01
'0:0:12.91,163.51
'0:0:12.92,164.83
'0:0:12.93,165.62
'0:0:12.94,167.11
'0:0:12.95,168.61
'0:0:12.96,169.31
'0:0:12.97,170.80
'0:0:12.98,172.21
'0:0:12.99,172.91
'0:0:13.0,174.41
'0:0:13.01,176.43
'0:0:13.02,177.75
'0:0:13.03,177.75
'0:0:13.04,179.07
'0:0:13.05,179.77
'0:0:13.06,181.09
'0:0:13.07,182.32
'0:0:13.08,183.02
'0:0:13.09,184.17
'0:0:13.1,185.31
'0:0:13.11,185.84
'0:0:13.12,186.98
'0:0:13.13,187.95
'0:0:13.14,188.39
'0:0:13.15,189.26
'0:0:13.16,190.14
'0:0:13.17,190.50
'0:0:13.18,191.20
'0:0:13.19,191.90
'0:0:13.2,192.25
'0:0:13.21,192.78
'0:0:13.22,193.31
'0:0:13.23,193.57
'0:0:13.24,193.92
'0:0:13.25,194.28
'0:0:13.26,194.45
'0:0:13.27,194.63
'0:0:13.28,194.80
'0:0:13.29,194.89
'0:0:13.3,194.98
'0:0:13.31,194.98
'0:0:13.32,194.98
'0:0:13.33,194.98
'0:0:13.34,194.98
'0:0:13.35,194.89
'0:0:13.36,194.71
'0:0:13.37,194.36
'0:0:13.38,194.10
'0:0:13.39,193.57
'0:0:13.4,193.04
'0:0:13.41,192.78
'0:0:13.42,192.17
'0:0:13.43,191.46
'0:0:13.44,191.11
'0:0:13.45,190.23
'0:0:13.46,189.26
'0:0:13.47,188.82
'0:0:13.48,187.77
'0:0:13.49,186.80
'0:0:13.5,186.28
'0:0:13.51,185.13
'0:0:13.52,183.99
'0:0:13.53,183.46
'0:0:13.54,182.41
'0:0:13.55,181.18
'0:0:13.56,180.56
'0:0:13.57,179.24
'0:0:13.58,177.84
'0:0:13.59,177.22
'0:0:13.6,175.81
'0:0:13.61,174.50
'0:0:13.62,173.79
'0:0:13.63,172.30
'0:0:13.64,170.80
'0:0:13.65,170.10
'0:0:13.66,168.52
'0:0:13.67,167.11
'0:0:13.68,166.41
'0:0:13.69,165.09
'0:0:13.7,163.68
'0:0:13.71,162.98
'0:0:13.72,161.66
'0:0:13.73,160.34
'0:0:13.74,159.64
'0:0:13.75,158.32
'0:0:13.76,157.09
'0:0:13.77,156.39
'0:0:13.78,155.16
'0:0:13.79,154.01
'0:0:13.8,153.49
'0:0:13.81,152.43
'0:0:13.82,151.38
'0:0:13.83,150.85
'0:0:13.84,149.88
'0:0:13.85,149.00
'0:0:13.86,148.56
'0:0:13.87,147.77
'0:0:13.88,147.07
'0:0:13.89,146.63
'0:0:13.9,146.01
'0:0:13.91,145.40
'0:0:13.92,145.13
'0:0:13.93,144.61
'0:0:13.94,144.17
'0:0:13.95,144.08
'0:0:13.96,143.46
'0:0:13.97,143.29
'0:0:13.98,143.20
'0:0:13.99,143.11
'0:0:14.0,143.11
'0:0:14.01,143.11
'0:0:14.02,143.11
'0:0:14.03,143.11
'0:0:14.04,143.11
'0:0:14.05,143.20
'0:0:14.06,143.38
'0:0:14.07,143.55
'0:0:14.08,143.82
'0:0:14.09,144.25
'0:0:14.1,144.52
'0:0:14.11,145.13
'0:0:14.12,145.66
'0:0:14.13,146.01
'0:0:14.14,146.72
'0:0:14.15,147.42
'0:0:14.16,147.86
'0:0:14.17,148.74
'0:0:14.18,149.62
'0:0:14.19,150.14
'0:0:14.2,151.20
'0:0:14.21,152.25
'0:0:14.22,152.78
'0:0:14.23,153.84
'0:0:14.24,154.89
'0:0:14.25,155.51
'0:0:14.26,156.65
'0:0:14.27,157.97
'0:0:14.28,158.58
'0:0:14.29,159.99
'0:0:14.3,161.31
'0:0:14.31,161.92
'0:0:14.32,163.24
'0:0:14.33,164.65
'0:0:14.34,165.35
'0:0:14.35,166.67
'0:0:14.36,168.08
'0:0:14.37,168.69
'0:0:14.38,170.10
'0:0:14.39,171.42
'0:0:14.4,172.12
'0:0:14.41,173.44
'0:0:14.42,174.76
'0:0:14.43,175.46
'0:0:14.44,176.69
'0:0:14.45,177.92
'0:0:14.46,178.63
'0:0:14.47,179.86
'0:0:14.48,181.09
'0:0:14.49,181.62
'0:0:14.5,182.76
'0:0:14.51,183.81
'0:0:14.52,184.34
'0:0:14.53,185.31
'0:0:14.54,186.28
'0:0:14.55,186.80
'0:0:14.56,187.68
'0:0:14.57,188.47
'0:0:14.58,188.91
'0:0:14.59,189.62
'0:0:14.6,190.58
'0:0:14.61,191.20
'0:0:14.62,191.46
'0:0:14.63,191.64
'0:0:14.64,192.08
'0:0:14.65,192.34
'0:0:14.66,192.69
'0:0:14.67,192.78
'0:0:14.68,193.04
'0:0:14.69,193.22
'0:0:14.7,193.22
'0:0:14.71,193.31
'0:0:14.72,193.31
'0:0:14.73,193.31
'0:0:14.74,193.31
'0:0:14.75,193.31
'0:0:14.76,193.31
'0:0:14.77,193.22
'0:0:14.78,192.87
'0:0:14.79,192.69
'0:0:14.8,192.25
'0:0:14.81,191.81
'0:0:14.82,191.46
'0:0:14.83,190.93
'0:0:14.84,190.23
'0:0:14.85,189.97
'0:0:14.86,189.18
'0:0:14.87,188.39
'0:0:14.88,187.95
'0:0:14.89,186.98
'0:0:14.9,186.01
'0:0:14.91,185.48
'0:0:14.92,184.43
'0:0:14.93,183.37
'0:0:14.94,182.85
'0:0:14.95,181.88
'0:0:14.96,180.83
'0:0:14.97,180.30
'0:0:14.98,179.07
'0:0:14.99,177.92
'0:0:15.0,177.22
'0:0:15.01,174.58
'0:0:15.02,173.97
'0:0:15.03,173.97
'0:0:15.04,172.47
'0:0:15.05,171.07
'0:0:15.06,170.36
'0:0:15.07,168.96
'0:0:15.08,167.64
'0:0:15.09,167.02
'0:0:15.1,165.62
'0:0:15.11,164.30
'0:0:15.12,163.68
'0:0:15.13,162.45
'0:0:15.14,161.22
'0:0:15.15,160.61
'0:0:15.16,159.46
'0:0:15.17,158.23
'0:0:15.18,157.62
'0:0:15.19,156.47
'0:0:15.2,155.33
'0:0:15.21,154.80
'0:0:15.22,153.66
'0:0:15.23,152.69
'0:0:15.24,151.29
'0:0:15.25,150.76
'0:0:15.26,149.97
'0:0:15.27,149.62
'0:0:15.28,149.18
'0:0:15.29,148.56
'0:0:15.3,148.21
'0:0:15.31,147.60
'0:0:15.32,146.98
'0:0:15.33,146.72
'0:0:15.34,146.28
'0:0:15.35,145.84
'0:0:15.36,145.57
'0:0:15.37,145.31
'0:0:15.38,144.96
'0:0:15.39,144.87
'0:0:15.4,144.69
'0:0:15.41,144.61
'0:0:15.42,144.52
'0:0:15.43,144.52
'0:0:15.44,144.61
'0:0:15.45,144.61
'0:0:15.46,144.78
'0:0:15.47,144.96
'0:0:15.48,145.13
'0:0:15.49,145.40
'0:0:15.5,145.75
'0:0:15.51,145.93
'0:0:15.52,146.45
'0:0:15.53,146.98
'0:0:15.54,147.24
'0:0:15.55,147.77
'0:0:15.56,148.47
'0:0:15.57,148.83
'0:0:15.58,149.62
'0:0:15.59,150.50
'0:0:15.6,150.94
'0:0:15.61,151.90
'0:0:15.62,152.87
'0:0:15.63,153.40
'0:0:15.64,154.54
'0:0:15.65,155.60
'0:0:15.66,156.12
'0:0:15.67,157.27
'0:0:15.68,158.32
'0:0:15.69,158.94
'0:0:15.7,160.17
'0:0:15.71,161.31
'0:0:15.72,161.92
'0:0:15.73,163.16
'0:0:15.74,164.39
'0:0:15.75,165.09
'0:0:15.76,166.32
'0:0:15.77,167.73
'0:0:15.78,168.34
'0:0:15.79,169.66
'0:0:15.8,170.89
'0:0:15.81,171.59
'0:0:15.82,172.83
'0:0:15.83,174.06
'0:0:15.84,174.67
'0:0:15.85,175.81
'0:0:15.86,177.05
'0:0:15.87,177.57
'0:0:15.88,179.77
'0:0:15.89,180.39
'0:0:15.9,180.91
'0:0:15.91,182.06
'0:0:15.92,182.50
'0:0:15.93,183.02
'0:0:15.94,183.99
'0:0:15.95,184.87
'0:0:15.96,185.31
'0:0:15.97,186.19
'0:0:15.98,186.98
'0:0:15.99,187.33
'0:0:16.0,188.03
'0:0:16.01,188.91
'0:0:16.02,189.44
'0:0:16.03,189.44
'0:0:16.04,189.97
'0:0:16.05,190.23
'0:0:16.06,190.58
'0:0:16.07,190.93
'0:0:16.08,191.02
'0:0:16.09,191.37
'0:0:16.1,191.46
'0:0:16.11,191.55
'0:0:16.12,191.64
'0:0:16.13,191.64
'0:0:16.14,191.64
'0:0:16.15,191.64
'0:0:16.16,191.64
'0:0:16.17,191.73
'0:0:16.18,191.64
'0:0:16.19,191.46
'0:0:16.2,191.29
'0:0:16.21,190.85
'0:0:16.22,190.41
'0:0:16.23,190.14
'0:0:16.24,189.62
'0:0:16.25,189.09
'0:0:16.26,188.74
'0:0:16.27,188.03
'0:0:16.28,187.33
'0:0:16.29,186.80
'0:0:16.3,186.01
'0:0:16.31,185.04
'0:0:16.32,184.61
'0:0:16.33,183.55
'0:0:16.34,182.67
'0:0:16.35,182.14
'0:0:16.36,181.18
'0:0:16.37,180.21
'0:0:16.38,179.68
'0:0:16.39,178.72
'0:0:16.4,177.57
'0:0:16.41,177.05
'0:0:16.42,175.73
'0:0:16.43,174.41
'0:0:16.44,173.88
'0:0:16.45,172.65
'0:0:16.46,171.33
'0:0:16.47,170.63
'0:0:16.48,169.13
'0:0:16.49,167.81
'0:0:16.5,167.20
'0:0:16.51,165.97
'0:0:16.52,164.21
'0:0:16.53,162.98
'0:0:16.54,162.36
'0:0:16.55,161.84
'0:0:16.56,160.69
'0:0:16.57,160.17
'0:0:16.58,159.11
'0:0:16.59,158.58
'0:0:16.6,157.44
'0:0:16.61,156.30
'0:0:16.62,155.77
'0:0:16.63,154.80
'0:0:16.64,153.92
'0:0:16.65,153.49
'0:0:16.66,152.52
'0:0:16.67,151.55
'0:0:16.68,151.11
'0:0:16.69,150.41
'0:0:16.7,149.79
'0:0:16.71,149.44
'0:0:16.72,148.91
'0:0:16.73,148.47
'0:0:16.74,148.21
'0:0:16.75,147.68
'0:0:16.76,147.33
'0:0:16.77,147.16
'0:0:16.78,146.89
'0:0:16.79,146.54
'0:0:16.8,146.36
'0:0:16.81,146.10
'0:0:16.82,146.10
'0:0:16.83,146.10
'0:0:16.84,146.01
'0:0:16.85,146.10
'0:0:16.86,146.01
'0:0:16.87,146.10
'0:0:16.88,146.28
'0:0:16.89,146.54
'0:0:16.9,146.80
'0:0:16.91,147.16
'0:0:16.92,147.33
'0:0:16.93,147.77
'0:0:16.94,148.30
'0:0:16.95,148.56
'0:0:16.96,149.18
'0:0:16.97,149.79
'0:0:16.98,150.14
'0:0:16.99,150.85
'0:0:17.0,151.55
'0:0:17.01,152.87
'0:0:17.02,153.84
'0:0:17.03,153.84
'0:0:17.04,154.28
'0:0:17.05,155.24
'0:0:17.06,156.30
'0:0:17.07,156.83
'0:0:17.08,157.88
'0:0:17.09,159.02
'0:0:17.1,159.55
'0:0:17.11,160.69
'0:0:17.12,161.75
'0:0:17.13,162.36
'0:0:17.14,163.51
'0:0:17.15,164.74
'0:0:17.16,166.58
'0:0:17.17,167.20
'0:0:17.18,168.34
'0:0:17.19,168.96
'0:0:17.2,169.57
'0:0:17.21,170.72
'0:0:17.22,171.33
'0:0:17.23,172.47
'0:0:17.24,173.79
'0:0:17.25,174.32
'0:0:17.26,175.46
'0:0:17.27,176.61
'0:0:17.28,177.13
'0:0:17.29,178.19
'0:0:17.3,179.24
'0:0:17.31,179.68
'0:0:17.32,180.74
'0:0:17.33,181.62
'0:0:17.34,182.14
'0:0:17.35,183.02
'0:0:17.36,183.99
'0:0:17.37,184.34
'0:0:17.38,185.13
'0:0:17.39,185.84
'0:0:17.4,186.28
'0:0:17.41,186.98
'0:0:17.42,187.59
'0:0:17.43,187.86
'0:0:17.44,188.39
'0:0:17.45,188.82
'0:0:17.46,189.00
'0:0:17.47,189.35
'0:0:17.48,189.62
'0:0:17.49,189.79
'0:0:17.5,190.06
'0:0:17.51,190.23
'0:0:17.52,190.23
'0:0:17.53,190.32
'0:0:17.54,190.32
'0:0:17.55,190.32
'0:0:17.56,190.32
'0:0:17.57,190.32
'0:0:17.58,190.32
'0:0:17.59,190.23
'0:0:17.6,190.06
'0:0:17.61,189.88
'0:0:17.62,189.62
'0:0:17.63,189.18
'0:0:17.64,188.91
'0:0:17.65,188.30
'0:0:17.66,187.77
'0:0:17.67,187.42
'0:0:17.68,186.80
'0:0:17.69,186.10
'0:0:17.7,185.66
'0:0:17.71,184.87
'0:0:17.72,183.99
'0:0:17.73,183.55
'0:0:17.74,182.67
'0:0:17.75,181.79
'0:0:17.76,181.26
'0:0:17.77,180.39
'0:0:17.78,179.33
'0:0:17.79,178.89
'0:0:17.8,176.69
'0:0:17.81,176.08
'0:0:17.82,175.64
'0:0:17.83,174.41
'0:0:17.84,173.79
'0:0:17.85,173.18
'0:0:17.86,172.03
'0:0:17.87,170.89
'0:0:17.88,170.28
'0:0:17.89,169.13
'0:0:17.9,167.90
'0:0:17.91,167.29
'0:0:17.92,166.14
'0:0:17.93,165.00
'0:0:17.94,164.39
'0:0:17.95,163.33
'0:0:17.96,162.28
'0:0:17.97,161.66
'0:0:17.98,160.61
'0:0:17.99,159.55
'0:0:18.0,159.02
'0:0:18.01,156.91
'0:0:18.02,156.47
'0:0:18.03,156.47
'0:0:18.04,155.51
'0:0:18.05,154.72
'0:0:18.06,154.36
'0:0:18.07,153.49
'0:0:18.08,152.78
'0:0:18.09,152.34
'0:0:18.1,151.64
'0:0:18.11,151.02
'0:0:18.12,150.67
'0:0:18.13,150.06
'0:0:18.14,149.53
'0:0:18.15,149.27
'0:0:18.16,148.83
'0:0:18.17,148.47
'0:0:18.18,148.30
'0:0:18.19,147.95
'0:0:18.2,147.77
'0:0:18.21,147.68
'0:0:18.22,147.42
'0:0:18.23,147.42
'0:0:18.24,147.42
'0:0:18.25,147.42
'0:0:18.26,147.42
'0:0:18.27,147.42
'0:0:18.28,147.60
'0:0:18.29,147.77
'0:0:18.3,147.86
'0:0:18.31,148.03
'0:0:18.32,148.30
'0:0:18.33,148.56
'0:0:18.34,149.00
'0:0:18.35,149.53
'0:0:18.36,149.79
'0:0:18.37,150.32
'0:0:18.38,150.94
'0:0:18.39,151.29
'0:0:18.4,151.99
'0:0:18.41,152.78
'0:0:18.42,153.13
'0:0:18.43,154.01
'0:0:18.44,155.33
'0:0:18.45,156.21
'0:0:18.46,156.65
'0:0:18.47,157.18
'0:0:18.48,158.06
'0:0:18.49,158.58
'0:0:18.5,159.55
'0:0:18.51,160.08
'0:0:18.52,161.13
'0:0:18.53,162.28
'0:0:18.54,162.89
'0:0:18.55,164.03
'0:0:18.56,165.18
'0:0:18.57,165.70
'0:0:18.58,166.85
'0:0:18.59,167.99
'0:0:18.6,168.52
'0:0:18.61,169.66
'0:0:18.62,170.80
'0:0:18.63,171.33
'0:0:18.64,172.47
'0:0:18.65,173.53
'0:0:18.66,174.14
'0:0:18.67,175.20
'0:0:18.68,176.25
'0:0:18.69,176.78
'0:0:18.7,177.75
'0:0:18.71,178.80
'0:0:18.72,179.33
'0:0:18.73,180.21
'0:0:18.74,181.09
'0:0:18.75,181.53
'0:0:18.76,182.41
'0:0:18.77,183.20
'0:0:18.78,183.55
'0:0:18.79,184.25
'0:0:18.8,184.96
'0:0:18.81,185.31
'0:0:18.82,185.92
'0:0:18.83,186.54
'0:0:18.84,186.80
'0:0:18.85,187.24
'0:0:18.86,187.68
'0:0:18.87,187.86
'0:0:18.88,188.21
'0:0:18.89,188.47
'0:0:18.9,188.56
'0:0:18.91,188.82
'0:0:18.92,189.00
'0:0:18.93,189.00
'0:0:18.94,189.09
'0:0:18.95,189.09
'0:0:18.96,189.09
'0:0:18.97,189.09
'0:0:18.98,189.09
'0:0:18.99,189.09
'0:0:19.0,189.00
'0:0:19.01,188.56
'0:0:19.02,188.30
'0:0:19.03,188.30
'0:0:19.04,187.86
'0:0:19.05,187.59
'0:0:19.06,187.07
'0:0:19.07,186.45
'0:0:19.08,185.57
'0:0:19.09,185.22
'0:0:19.1,184.52
'0:0:19.11,184.17
'0:0:19.12,183.73
'0:0:19.13,182.93
'0:0:19.14,182.50
'0:0:19.15,181.53
'0:0:19.16,180.74
'0:0:19.17,180.30
'0:0:19.18,179.42
'0:0:19.19,178.45
'0:0:19.2,178.01
'0:0:19.21,177.05
'0:0:19.22,175.99
'0:0:19.23,175.46
'0:0:19.24,174.41
'0:0:19.25,173.26
'0:0:19.26,172.65
'0:0:19.27,171.59
'0:0:19.28,170.45
'0:0:19.29,169.92
'0:0:19.3,168.78
'0:0:19.31,167.81
'0:0:19.32,167.20
'0:0:19.33,166.06
'0:0:19.34,165.00
'0:0:19.35,164.47
'0:0:19.36,163.42
'0:0:19.37,162.36
'0:0:19.38,161.84
'0:0:19.39,160.87
'0:0:19.4,159.90
'0:0:19.41,159.38
'0:0:19.42,158.41
'0:0:19.43,157.44
'0:0:19.44,157.00
'0:0:19.45,156.12
'0:0:19.46,155.42
'0:0:19.47,154.98
'0:0:19.48,154.19
'0:0:19.49,153.49
'0:0:19.5,153.13
'0:0:19.51,152.52
'0:0:19.52,151.99
'0:0:19.53,151.64
'0:0:19.54,151.11
'0:0:19.55,150.67
'0:0:19.56,150.41
'0:0:19.57,150.06
'0:0:19.58,149.71
'0:0:19.59,149.62
'0:0:19.6,149.27
'0:0:19.61,149.09
'0:0:19.62,149.09
'0:0:19.63,148.91
'0:0:19.64,148.91
'0:0:19.65,148.83
'0:0:19.66,148.83
'0:0:19.67,148.83
'0:0:19.68,148.83
'0:0:19.69,149.00
'0:0:19.7,149.09
'0:0:19.71,149.27
'0:0:19.72,149.79
'0:0:19.73,149.88
'0:0:19.74,150.14
'0:0:19.75,150.58
'0:0:19.76,150.85
'0:0:19.77,151.02
'0:0:19.78,151.55
'0:0:19.79,152.25
'0:0:19.8,152.61
'0:0:19.81,153.31
'0:0:19.82,154.10
'0:0:19.83,154.45
'0:0:19.84,155.24
'0:0:19.85,156.03
'0:0:19.86,156.47
'0:0:19.87,157.35
'0:0:19.88,158.23
'0:0:19.89,158.67
'0:0:19.9,159.64
'0:0:19.91,160.52
'0:0:19.92,160.96
'0:0:19.93,162.01
'0:0:19.94,163.16
'0:0:19.95,163.59
'0:0:19.96,164.74
'0:0:19.97,165.70
'0:0:19.98,166.23
'0:0:19.99,167.29
'0:0:20.0,168.43
'0:0:20.01,170.10
'0:0:20.02,171.07
'0:0:20.03,171.07
'0:0:20.04,171.59
'0:0:20.05,172.56
'0:0:20.06,173.62
'0:0:20.07,174.14
'0:0:20.08,175.20
'0:0:20.09,176.17
'0:0:20.1,176.61
'0:0:20.11,177.57
'0:0:20.12,178.54
'0:0:20.13,178.98
'0:0:20.14,179.86
'0:0:20.15,180.74
'0:0:20.16,181.09
'0:0:20.17,181.79
'0:0:20.18,182.58
'0:0:20.19,182.93
'0:0:20.2,183.64
'0:0:20.21,184.25
'0:0:20.22,184.52
'0:0:20.23,185.13
'0:0:20.24,185.57
'0:0:20.25,185.84
'0:0:20.26,186.19
'0:0:20.27,186.63
'0:0:20.28,186.89
'0:0:20.29,187.15
'0:0:20.3,187.42
'0:0:20.31,187.51
'0:0:20.32,187.68
'0:0:20.33,187.77
'0:0:20.34,187.86
'0:0:20.35,187.86
'0:0:20.36,187.86
'0:0:20.37,187.86
'0:0:20.38,187.86
'0:0:20.39,187.86
'0:0:20.4,187.77
'0:0:20.41,187.68
'0:0:20.42,187.33
'0:0:20.43,187.24
'0:0:20.44,186.89
'0:0:20.45,186.45
'0:0:20.46,186.28
'0:0:20.47,185.75
'0:0:20.48,185.22
'0:0:20.49,184.96
'0:0:20.5,184.25
'0:0:20.51,183.64
'0:0:20.52,183.29
'0:0:20.53,182.50
'0:0:20.54,181.62
'0:0:20.55,181.18
'0:0:20.56,180.39
'0:0:20.57,179.68
'0:0:20.58,179.24
'0:0:20.59,178.36
'0:0:20.6,177.48
'0:0:20.61,176.96
'0:0:20.62,176.08
'0:0:20.63,175.02
'0:0:20.64,174.58
'0:0:20.65,173.44
'0:0:20.66,172.47
'0:0:20.67,171.95
'0:0:20.68,170.89
'0:0:20.69,169.84
'0:0:20.7,169.31
'0:0:20.71,168.25
'0:0:20.72,167.20
'0:0:20.73,166.67
'0:0:20.74,165.70
'0:0:20.75,164.65
'0:0:20.76,164.21
'0:0:20.77,163.24
'0:0:20.78,162.19
'0:0:20.79,161.75
'0:0:20.8,160.78
'0:0:20.81,159.81
'0:0:20.82,159.46
'0:0:20.83,158.50
'0:0:20.84,157.62
'0:0:20.85,157.27
'0:0:20.86,156.39
'0:0:20.87,155.68
'0:0:20.88,155.24
'0:0:20.89,154.63
'0:0:20.9,153.92
'0:0:20.91,153.66
'0:0:20.92,153.05
'0:0:20.93,152.52
'0:0:20.94,152.25
'0:0:20.95,151.81
'0:0:20.96,151.38
'0:0:20.97,151.20
'0:0:20.98,150.76
'0:0:20.99,150.41
'0:0:21.0,150.14
'0:0:21.01,150.06
'0:0:21.02,149.88
'0:0:21.03,149.88
'0:0:21.04,149.79
'0:0:21.05,149.79
'0:0:21.06,149.79
'0:0:21.07,149.79
'0:0:21.08,149.79
'0:0:21.09,149.88
'0:0:21.1,149.97
'0:0:21.11,150.23
'0:0:21.12,150.32
'0:0:21.13,150.50
'0:0:21.14,150.76
'0:0:21.15,151.02
'0:0:21.16,151.46
'0:0:21.17,151.99
'0:0:21.18,152.25
'0:0:21.19,152.69
'0:0:21.2,153.31
'0:0:21.21,153.66
'0:0:21.22,154.36
'0:0:21.23,155.16
'0:0:21.24,155.42
'0:0:21.25,156.21
'0:0:21.26,157.09
'0:0:21.27,157.44
'0:0:21.28,158.32
'0:0:21.29,159.11
'0:0:21.3,159.55
'0:0:21.31,160.43
'0:0:21.32,161.31
'0:0:21.33,161.75
'0:0:21.34,162.80
'0:0:21.35,163.77
'0:0:21.36,164.30
'0:0:21.37,165.35
'0:0:21.38,166.32
'0:0:21.39,166.85
'0:0:21.4,167.90
'0:0:21.41,168.87
'0:0:21.42,169.40
'0:0:21.43,170.36
'0:0:21.44,171.33
'0:0:21.45,171.77
'0:0:21.46,172.83
'0:0:21.47,173.79
'0:0:21.48,174.23
