tiempo,ángulo
'0:0:2.45,118.41
'0:0:2.46,118.15
'0:0:2.47,117.97
'0:0:2.48,117.79
'0:0:2.49,117.79
'0:0:2.5,117.71
'0:0:2.51,117.62
'0:0:2.52,117.62
'0:0:2.53,117.62
'0:0:2.54,117.79
'0:0:2.55,117.97
'0:0:2.56,118.23
'0:0:2.57,118.59
'0:0:2.58,118.76
'0:0:2.59,119.38
'0:0:2.6,120.17
'0:0:2.61,120.52
'0:0:2.62,121.57
'0:0:2.63,122.72
'0:0:2.64,123.24
'0:0:2.65,124.65
'0:0:2.66,126.15
'0:0:2.67,126.85
'0:0:2.68,128.43
'0:0:2.69,130.10
'0:0:2.7,131.16
'0:0:2.71,133.00
'0:0:2.72,134.94
'0:0:2.73,135.99
'0:0:2.74,138.10
'0:0:2.75,140.39
'0:0:2.76,141.53
'0:0:2.77,143.90
'0:0:2.78,146.28
'0:0:2.79,147.51
'0:0:2.8,150.06
'0:0:2.81,152.52
'0:0:2.82,153.75
'0:0:2.83,156.30
'0:0:2.84,158.94
'0:0:2.85,160.25
'0:0:2.86,162.89
'0:0:2.87,165.62
'0:0:2.88,166.94
'0:0:2.89,169.66
'0:0:2.9,172.21
'0:0:2.91,173.53
'0:0:2.92,176.17
'0:0:2.93,178.72
'0:0:2.94,179.95
'0:0:2.95,182.50
'0:0:2.96,185.04
'0:0:2.97,186.01
'0:0:2.98,187.59
'0:0:2.99,189.70
'0:0:3.0,191.20
'0:0:3.01,196.47
'0:0:3.02,197.53
'0:0:3.03,197.53
'0:0:3.04,199.55
'0:0:3.05,201.48
'0:0:3.06,202.45
'0:0:3.07,204.12
'0:0:3.08,206.41
'0:0:3.09,207.73
'0:0:3.1,208.25
'0:0:3.11,208.78
'0:0:3.12,209.66
'0:0:3.13,210.19
'0:0:3.14,211.15
'0:0:3.15,211.59
'0:0:3.16,212.56
'0:0:3.17,213.26
'0:0:3.18,213.53
'0:0:3.19,214.05
'0:0:3.2,214.67
'0:0:3.21,214.93
